COMMUNITY_AREA_NUMBER,COMMUNITY_AREA_NAME,PERCENT_OF_HOUSING_CROWDED,PERCENT_HOUSEHOLDS_BELOW_POVERTY,PERCENT_AGED_16__UNEMPLOYED,PERCENT_AGED_25__WITHOUT_HIGH_SCHOOL_DIPLOMA,PERCENT_AGED_UNDER_18_OR_OVER_64,PER_CAPITA_INCOME,HARDSHIP_INDEX
1,Rogers Park,0.077,0.236,0.087,0.182,0.275,23939,39
2,West Ridge,0.078,0.172,0.088,0.208,0.385,23040,46
3,Uptown,0.038,0.24,0.089,0.118,0.222,35787,20
4,Lincoln Square,0.034,0.109,0.082,0.134,0.255,37524,17
5,North Center,0.003,0.075,0.052,0.045,0.262,57123,6
6,Lake View,0.011,0.114,0.047,0.026,0.17,60058,5
7,Lincoln Park,0.008,0.123,0.051,0.036,0.215,71551,2
8,Near North Side,0.019,0.129,0.07,0.025,0.226,88669,1
9,Edison Park,0.011,0.033,0.065,0.074,0.353,40959,8
10,Norwood Park,0.02,0.054,0.09,0.115,0.395,32875,21
11,Jefferson Park,0.027,0.086,0.124,0.134,0.355,27751,25
12,Forest Glen,0.011,0.075,0.068,0.049,0.405,44164,11
13,North Park,0.039,0.132,0.099,0.144,0.39,26576,33
14,Albany Park,0.113,0.192,0.1,0.329,0.32,21323,53
15,Portage Park,0.041,0.116,0.126,0.193,0.34,24336,35
16,Irving Park,0.063,0.131,0.1,0.224,0.316,27249,34
17,Dunning,0.052,0.106,0.1,0.162,0.336,26282,28
18,Montclaire,0.081,0.153,0.138,0.235,0.386,22014,50
19,Belmont Cragin,0.108,0.187,0.146,0.373,0.373,15461,70
20,Hermosa,0.069,0.205,0.131,0.416,0.364,15089,71
21,Avondale,0.06,0.153,0.092,0.247,0.31,20039,42
22,Logan Square,0.032,0.168,0.082,0.148,0.262,31908,23
23,Humboldt park,0.148,0.339,0.173,0.354,0.38,13781,85
24,West Town,0.023,0.147,0.066,0.129,0.217,43198,10
25,Austin,0.063,0.286,0.226,0.244,0.379,15957,73
26,West Garfield Park,0.094,0.417,0.258,0.245,0.436,10934,92
27,East Garfield Park,0.082,0.424,0.196,0.213,0.432,12961,83
28,Near West Side,0.038,0.206,0.107,0.096,0.222,44689,15
29,North Lawndale,0.074,0.431,0.212,0.276,0.427,12034,87
30,South Lawndale,0.152,0.307,0.158,0.548,0.338,10402,96
31,Lower West Side,0.096,0.258,0.158,0.407,0.326,16444,76
32,Loop,0.015,0.147,0.057,0.031,0.135,65526,3
33,Near South Side,0.013,0.138,0.049,0.074,0.218,59077,7
34,Armour Square,0.057,0.401,0.167,0.345,0.383,16148,82
35,Douglas,0.018,0.296,0.182,0.143,0.307,23791,47
36,Oakland,0.013,0.397,0.287,0.184,0.404,19252,78
37,Fuller Park,0.032,0.512,0.339,0.266,0.449,10432,97
38,Grand Boulevard,0.033,0.293,0.243,0.159,0.395,23472,57
39,Kenwood,0.024,0.217,0.157,0.113,0.354,35911,26
40,Washington Park,0.056,0.421,0.286,0.254,0.428,13785,88
41,Hyde Park,0.015,0.184,0.084,0.043,0.262,39056,14
42,Woodlawn,0.029,0.307,0.234,0.165,0.361,18672,58
43,South Shore,0.028,0.311,0.2,0.14,0.357,19398,55
44,Chatham,0.033,0.278,0.24,0.145,0.403,18881,60
45,Avalon Park,0.014,0.172,0.211,0.106,0.393,24454,41
46,South Chicago,0.047,0.298,0.197,0.266,0.411,16579,75
47,Burnside,0.068,0.33,0.186,0.193,0.427,12515,79
48,Calumet Heights,0.021,0.115,0.2,0.11,0.44,28887,38
49,Roseland,0.025,0.198,0.203,0.169,0.412,17949,52
50,Pullman,0.015,0.216,0.228,0.131,0.386,20588,51
51,South Deering,0.04,0.292,0.163,0.21,0.395,14685,65
52,East Side,0.068,0.192,0.121,0.319,0.428,17104,64
53,West Pullman,0.033,0.259,0.194,0.205,0.421,16563,62
54,Riverdale,0.058,0.565,0.346,0.275,0.515,8201,98
55,Hegewisch,0.033,0.171,0.096,0.192,0.429,22677,44
56,Garfield Ridge,0.026,0.088,0.113,0.193,0.381,26353,32
57,Archer Heights,0.085,0.141,0.165,0.359,0.392,16134,67
58,Brighton Park,0.144,0.236,0.139,0.451,0.393,13089,84
59,McKinley Park,0.072,0.187,0.134,0.329,0.356,16954,61
60,Bridgeport,0.045,0.189,0.137,0.222,0.313,22694,43
61,New City,0.119,0.29,0.23,0.415,0.389,12765,91
62,West Elsdon,0.111,0.156,0.167,0.37,0.377,15754,69
63,Gage Park,0.158,0.234,0.182,0.515,0.388,12171,93
64,Clearing,0.027,0.089,0.095,0.188,0.376,25113,29
65,West Lawn,0.058,0.149,0.096,0.336,0.396,16907,56
66,Chicago Lawn,0.076,0.279,0.171,0.312,0.406,13231,80
67,West Englewood,0.048,0.344,0.359,0.263,0.407,11317,89
68,Englewood,0.038,0.466,0.28,0.285,0.425,11888,94
69,Greater Grand Crossing,0.036,0.296,0.23,0.165,0.41,17285,66
70,Ashburn,0.04,0.104,0.117,0.177,0.369,23482,37
71,Auburn Gresham,0.04,0.276,0.283,0.185,0.419,15528,74
72,Beverly,0.009,0.051,0.08,0.037,0.405,39523,12
73,Washington Height,0.011,0.169,0.208,0.137,0.426,19713,48
74,Mount Greenwood,0.01,0.034,0.087,0.043,0.368,34381,16
75,Morgan Park,0.008,0.132,0.15,0.108,0.403,27149,30
76,O'Hare,0.036,0.154,0.071,0.109,0.303,25828,24
77,Edgewater,0.041,0.182,0.092,0.097,0.238,33385,19
78,Chicago  ,0.047,0.197,0.129,0.195,0.335,28202,
